[2026-05-11T10:56:47.775641Z] [INFO] [CA_SERVER] msg_type=N/A - CA server started on 0.0.0.0:8003
[2026-05-11T11:01:58.807904Z] [INFO] [CA_SERVER] msg_type=N/A - CA server started on 0.0.0.0:8003
[2026-05-11T11:07:22.817659Z] [INFO] [CA_SERVER] msg_type=N/A - CA server started on 0.0.0.0:8003
[2026-05-11T11:11:06.958951Z] [INFO] [CA_SERVER] msg_type=N/A - New connection from ('127.0.0.1', 58872)
[2026-05-11T11:11:06.959308Z] [DEBUG] [CA_CONN] msg_type=CERT_APPLY - Received UNKNOWN from ('127.0.0.1', 58872)
[2026-05-11T11:11:06.973834Z] [INFO] [CA_CERT] msg_type=N/A - Issued certificate CLIENT-TEST-001 (serial: 000001) to ('127.0.0.1', 58872)
[2026-05-11T11:11:06.974070Z] [ERROR] [CA_CONN] msg_type=N/A - Connection error with ('127.0.0.1', 58872): Connection closed prematurely
[2026-05-11T11:11:06.974118Z] [INFO] [CA_CONN] msg_type=N/A - Connection closed with ('127.0.0.1', 58872)
[2026-05-11T11:12:54.242096Z] [INFO] [CA_SERVER] msg_type=N/A - New connection from ('127.0.0.1', 51128)
[2026-05-11T11:12:54.242554Z] [DEBUG] [CA_CONN] msg_type=CERT_APPLY - Received UNKNOWN from ('127.0.0.1', 51128)
[2026-05-11T11:12:54.258828Z] [INFO] [CA_CERT] msg_type=N/A - Issued certificate CLIENT-TEST-001 (serial: 000002) to ('127.0.0.1', 51128)
[2026-05-11T11:12:54.259214Z] [ERROR] [CA_CONN] msg_type=N/A - Connection error with ('127.0.0.1', 51128): Connection closed prematurely
[2026-05-11T11:12:54.259254Z] [INFO] [CA_CONN] msg_type=N/A - Connection closed with ('127.0.0.1', 51128)
[2026-05-11T11:12:55.325351Z] [INFO] [CA_SERVER] msg_type=N/A - New connection from ('127.0.0.1', 51129)
[2026-05-11T11:12:55.326240Z] [DEBUG] [CA_CONN] msg_type=CERT_RENEW_REQUEST - Received UNKNOWN from ('127.0.0.1', 51129)
[2026-05-11T11:12:55.337836Z] [INFO] [CA_CERT] msg_type=N/A - Renewed certificate CLIENT-TEST-001 (new serial: 000003) for ('127.0.0.1', 51129)
[2026-05-11T11:12:55.338078Z] [ERROR] [CA_CONN] msg_type=N/A - Connection error with ('127.0.0.1', 51129): Connection closed prematurely
[2026-05-11T11:12:55.338154Z] [INFO] [CA_CONN] msg_type=N/A - Connection closed with ('127.0.0.1', 51129)
[2026-05-11T11:13:55.648971Z] [INFO] [CA_SERVER] msg_type=N/A - New connection from ('127.0.0.1', 51135)
[2026-05-11T11:13:55.649438Z] [DEBUG] [CA_CONN] msg_type=CERT_APPLY - Received UNKNOWN from ('127.0.0.1', 51135)
[2026-05-11T11:13:55.664031Z] [INFO] [CA_CERT] msg_type=N/A - Issued certificate CLIENT-TEST-001 (serial: 000004) to ('127.0.0.1', 51135)
[2026-05-11T11:13:55.664264Z] [ERROR] [CA_CONN] msg_type=N/A - Connection error with ('127.0.0.1', 51135): Connection closed prematurely
[2026-05-11T11:13:55.664315Z] [INFO] [CA_CONN] msg_type=N/A - Connection closed with ('127.0.0.1', 51135)
[2026-05-11T11:13:55.698672Z] [INFO] [CA_CERT] msg_type=N/A - Revoked certificate CLIENT-TEST-001
[2026-05-11T11:20:21.228983Z] [INFO] [CA_SERVER] msg_type=N/A - New connection from ('127.0.0.1', 60264)
[2026-05-11T11:20:21.229428Z] [DEBUG] [CA_CONN] msg_type=CERT_APPLY - Received UNKNOWN from ('127.0.0.1', 60264)
[2026-05-11T11:20:21.242889Z] [INFO] [CA_CERT] msg_type=N/A - Issued certificate CLIENT-TEST-001 (serial: 000005) to ('127.0.0.1', 60264)
[2026-05-11T11:20:21.243125Z] [ERROR] [CA_CONN] msg_type=N/A - Connection error with ('127.0.0.1', 60264): Connection closed prematurely
